Case,Layers,MACs,Memory,BOPs
Case 1,Conv_0,165888,35304,8128512
Case 1,Relu_1,0,393216,202752
Case 1,Quant_2,0,245792,6213
Case 1,Conv_3,1327104,86328,65028096
Case 1,Relu_4,0,393216,202752
Case 1,Quant_5,0,245792,6213
Case 1,Conv_6,147456,37536,7225344
Case 1,Relu_7,0,393216,202752
Case 1,Quant_8,0,245792,6213
Case 1,Conv_9,1327104,86328,65028096
Case 1,Relu_10,0,393216,202752
Case 1,Quant_11,0,245792,6213
Case 1,Conv_12,294912,62784,14450688
Case 1,Relu_13,0,786432,405504
Case 1,Quant_14,0,491552,12357
Case 1,Conv_15,1327104,52848,65028096
Case 1,Relu_16,0,196608,101376
Case 1,Quant_17,0,122912,3141
Case 1,Conv_18,147456,20928,7225344
Case 1,Relu_19,0,196608,101376
Case 1,Quant_20,0,122912,3141
Case 1,Conv_21,1327104,43632,65028096
Case 1,Relu_22,0,196608,101376
Case 1,Quant_23,0,122912,3141
Case 1,Conv_24,294912,35712,14450688
Case 1,Relu_25,0,393216,202752
Case 1,Quant_26,0,245792,6213
Case 1,Conv_27,5308416,87264,260112384
Case 1,Relu_28,0,393216,202752
Case 1,Quant_29,0,245792,6213
Case 1,Conv_30,589824,46464,28901376
Case 1,Relu_31,0,393216,202752
Case 1,Quant_32,0,245792,6213
Case 1,Conv_33,1327104,27360,65028096
Case 1,Relu_34,0,98304,50688
Case 1,Quant_35,0,61472,1605
Case 1,Conv_36,294912,34560,14450688
Case 1,Relu_37,0,196608,101376
Case 1,Quant_38,0,122912,3141
Case 1,Conv_39,5308416,45504,260112384
Case 1,Relu_40,0,196608,101376
Case 1,Quant_41,0,122912,3141
Case 1,Conv_42,589824,56064,28901376
Case 1,Relu_43,0,196608,101376
Case 1,Quant_44,0,122912,3141
Case 1,Conv_45,1327104,15552,65028096
Case 1,Relu_46,0,49152,25344
Case 1,Quant_47,0,30752,837
Case 1,Conv_48,294912,82944,14450688
Case 1,Relu_49,0,98304,50688
Case 1,Quant_50,0,61472,1605
Case 1,Conv_51,5308416,26496,260112384
Case 1,Relu_52,0,98304,50688
Case 1,Quant_53,0,61472,1605
Case 1,Conv_54,589824,158208,28901376
Case 1,Relu_55,0,98304,50688
Case 1,Quant_56,0,61472,1605
Case 1,Conv_57,5308416,26496,260112384
Case 1,Relu_58,0,98304,50688
Case 1,Quant_59,0,61472,1605
Case 1,Conv_60,589824,158208,28901376
Case 1,Relu_61,0,98304,50688
Case 1,Quant_62,0,61472,1605
Case 1,Conv_63,5308416,26496,260112384
Case 1,Relu_64,0,98304,50688
Case 1,Quant_65,0,61472,1605
Case 1,Conv_66,1179648,313344,57802752
Case 1,Relu_67,0,196608,101376
Case 1,Quant_68,0,122912,3141
Case 1,avgpool_69,0,49152,98304
Case 1,Trunc_70,0,12320,789
Case 1,Gemm_71,7680,8528,376320
Case 2,Conv_0,165888,35304,8128512
Case 2,Relu_1,0,393216,202752
Case 2,Quant_2,0,245792,6213
Case 2,Conv_3,1327104,86220,59719680
Case 2,Relu_4,0,393216,202752
Case 2,Quant_5,0,221664,768125.9462213996
Case 2,Conv_6,147456,31104,6045696
Case 2,Relu_7,0,393216,202752
Case 2,Quant_8,0,221216,6213
Case 2,Conv_9,1327104,55500,54411264
Case 2,Relu_10,0,393216,202752
Case 2,Quant_11,0,221216,6213
Case 2,Conv_12,294912,56064,12091392
Case 2,Relu_13,0,786432,405504
Case 2,Quant_14,0,442400,12357
Case 2,Conv_15,1327104,32664,54411264
Case 2,Relu_16,0,196608,101376
Case 2,Quant_17,0,110624,3141
Case 2,Conv_18,147456,16704,6045696
Case 2,Relu_19,0,196608,101376
Case 2,Quant_20,0,110624,3141
Case 2,Conv_21,1327104,28056,54411264
Case 2,Relu_22,0,196608,101376
Case 2,Quant_23,0,110624,3141
Case 2,Conv_24,294912,30336,12091392
Case 2,Relu_25,0,393216,202752
Case 2,Quant_26,0,221216,6213
Case 2,Conv_27,5308416,56112,217645056
Case 2,Relu_28,0,393216,202752
Case 2,Quant_29,0,221216,6213
Case 2,Conv_30,589824,35712,24182784
Case 2,Relu_31,0,393216,202752
Case 2,Quant_32,0,221216,6213
Case 2,Conv_33,1327104,16944,54411264
Case 2,Relu_34,0,98304,50688
Case 2,Quant_35,0,55328,1605
Case 2,Conv_36,294912,23808,12091392
Case 2,Relu_37,0,196608,101376
Case 2,Quant_38,0,110624,3141
Case 2,Conv_39,5308416,29280,217645056
Case 2,Relu_40,0,196608,101376
Case 2,Quant_41,0,110624,3141
Case 2,Conv_42,589824,34560,24182784
Case 2,Relu_43,0,196608,101376
Case 2,Quant_44,0,110624,3141
Case 2,Conv_45,1327104,9696,54411264
Case 2,Relu_46,0,49152,25344
Case 2,Quant_47,0,27680,837
Case 2,Conv_48,294912,45312,12091392
Case 2,Relu_49,0,98304,50688
Case 2,Quant_50,0,55328,1605
Case 2,Conv_51,0,18112,217645056
Case 2,Relu_52,0,98304,50688
Case 2,Quant_53,0,55776,192031.4865553499
Case 2,Conv_54,0,83968,24182784
Case 2,Relu_55,0,98304,50688
Case 2,Quant_56,0,55776,192031.4865553499
Case 2,Conv_57,0,18112,217645056
Case 2,Relu_58,0,98304,50688
Case 2,Quant_59,0,55776,192031.4865553499
Case 2,Conv_60,0,83968,24182784
Case 2,Relu_61,0,98304,50688
Case 2,Quant_62,0,55776,192031.4865553499
Case 2,Conv_63,0,18112,217645056
Case 2,Relu_64,0,98304,50688
Case 2,Quant_65,0,55776,192031.4865553499
Case 2,Conv_66,0,165376,48365568
Case 2,Relu_67,0,196608,101376
Case 2,Quant_68,0,111072,384062.9731106998
Case 2,avgpool_69,0,24576,49152
Case 2,Trunc_70,0,6176,781
Case 2,Gemm_71,7680,8144,345600
Case 3,Conv_0,165888,35304,8128512
Case 3,Relu_1,0,393216,202752
Case 3,Quant_2,0,245792,6213
Case 3,Conv_3,1327104,86328,65028096
Case 3,Relu_4,0,393216,202752
Case 3,Quant_5,0,245792,6213
Case 3,Conv_6,147456,37536,7225344
Case 3,Relu_7,0,393216,202752
Case 3,Quant_8,0,245792,6213
Case 3,Conv_9,1327104,86220,59719680
Case 3,Relu_10,0,393216,202752
Case 3,Quant_11,0,221216,6213
Case 3,Conv_12,294912,56064,12091392
Case 3,Relu_13,0,786432,405504
Case 3,Quant_14,0,442400,12357
Case 3,Conv_15,1327104,32664,54411264
Case 3,Relu_16,0,196608,101376
Case 3,Quant_17,0,110624,3141
Case 3,Conv_18,147456,16704,6045696
Case 3,Relu_19,0,196608,101376
Case 3,Quant_20,0,110624,3141
Case 3,Conv_21,1327104,28056,54411264
Case 3,Relu_22,0,196608,101376
Case 3,Quant_23,0,110624,3141
Case 3,Conv_24,294912,30336,12091392
Case 3,Relu_25,0,393216,202752
Case 3,Quant_26,0,221216,6213
Case 3,Conv_27,5308416,56112,217645056
Case 3,Relu_28,0,393216,202752
Case 3,Quant_29,0,221216,6213
Case 3,Conv_30,589824,35712,24182784
Case 3,Relu_31,0,393216,202752
Case 3,Quant_32,0,221216,6213
Case 3,Conv_33,1327104,16944,54411264
Case 3,Relu_34,0,98304,50688
Case 3,Quant_35,0,55328,1605
Case 3,Conv_36,294912,23808,12091392
Case 3,Relu_37,0,196608,101376
Case 3,Quant_38,0,110624,3141
Case 3,Conv_39,0,30304,217645056
Case 3,Relu_40,0,196608,101376
Case 3,Quant_41,0,111072,384062.9731106998
Case 3,Conv_42,0,35584,24182784
Case 3,Relu_43,0,196608,101376
Case 3,Quant_44,0,111072,384062.9731106998
Case 3,Conv_45,0,10720,54411264
Case 3,Relu_46,0,49152,25344
Case 3,Quant_47,0,28128,96015.74327767495
Case 3,Conv_48,0,46336,12091392
Case 3,Relu_49,0,98304,50688
Case 3,Quant_50,0,55776,192031.4865553499
Case 3,Conv_51,0,18112,217645056
Case 3,Relu_52,0,98304,50688
Case 3,Quant_53,0,55776,192031.4865553499
Case 3,Conv_54,0,83968,24182784
Case 3,Relu_55,0,98304,50688
Case 3,Quant_56,0,55776,192031.4865553499
Case 3,Conv_57,0,18112,217645056
Case 3,Relu_58,0,98304,50688
Case 3,Quant_59,0,55776,192031.4865553499
Case 3,Conv_60,0,83968,24182784
Case 3,Relu_61,0,98304,50688
Case 3,Quant_62,0,55776,192031.4865553499
Case 3,Conv_63,0,14944,207028224
Case 3,Relu_64,0,98304,50688
Case 3,Quant_65,0,55776,192031.4865553499
Case 3,Conv_66,0,87808,46006272
Case 3,Relu_67,0,196608,101376
Case 3,Quant_68,0,111072,384062.9731106998
Case 3,avgpool_69,0,24576,49152
Case 3,Trunc_70,0,6204,12001.967909709369
Case 3,Gemm_71,0,5328,314880
